time,Msg Type,Time Stamp,Message Type,Order Reference,Buy/Sell Indicator,Shares,Price Decimal,Price,Stock,Broker,Executed Shares,Trade Reference,Contra Order Reference,Trade Attribute,Contra Broker,Cancelled Shares,Cross Type,Settlement Terms,Event Code,Trading State,Listing Market,Board Lot Size,Currency,GEF Eligible
2020-01-30 09:30:01.019000000,Add Order,1580394601019000000,A,73892,B,600.0,25.1,251000.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:01.019000000,Add Order,1580394601019000000,A,73894,S,500.0,25.34,253400.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:01.409000000,Add Order,1580394601409000000,A,81233,B,100.0,25.16,251600.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:01.518000000,Add Order,1580394601518000000,A,83144,B,500.0,25.15,251500.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:01.575000000,Add Order,1580394601575000000,A,83883,S,600.0,25.33,253300.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:02.023000000,Add Order,1580394602023000000,A,89703,B,600.0,25.14,251400.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:02.075000000,Add Order,1580394602075000000,A,90726,S,500.0,25.34,253400.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:02.528000000,Add Order,1580394602528000000,A,97016,B,500.0,25.14,251400.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:03.028000000,Add Order,1580394603028000000,A,102239,B,500.0,25.13,251300.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:03.610000000,Add Order,1580394603610000000,A,108195,S,500.0,25.32,253200.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:04.148000000,Add Order,1580394604148000000,A,113397,S,500.0,25.33,253300.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:04.151000000,Add Order,1580394604151000000,A,113448,B,700.0,25.14,251400.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:04.845000000,Add Order,1580394604845000000,A,119087,B,500.0,25.12,251200.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:05.125000000,Add Order,1580394605125000000,A,122263,S,600.0,25.34,253400.0,XIU,39.0,,,,,,,,,,,,,,
2020-01-30 09:30:05.354000000,Add Order,1580394605354000000,A,124329,B,700.0,25.13,251300.0,XIU,39.0,,,,,,,,,,,,,,
